"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-12 16:31:32"
"Time Offset = -05:00:00"
"Duration = 00:01:06"
"Readings = 34"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Marked"
"2024-03-12 16:31:32","","9.5775175","12.184791","20.006836","0.007840938","81868.664","0.9999781","0.013004444","7.2790585","4.614368","710.19525","-0.5422375","-0.18978433","-0.38078403","0.15317672","80","946.8497","20.561518",""
"2024-03-12 16:31:34","","9.497589","12.265895","20.116652","0.007890864","81499.84","0.99997854","0.013075824","7.484526","4.604728","710.19525","-0.5542836","-0.19810432","-0.38950828","0.1454756","80","946.8497","20.560398",""
"2024-03-12 16:31:36","","9.499883","12.2790985","20.138622","0.007900881","81423.11","0.9999786","0.013090105","7.511065","4.6021714","710.19525","-0.55555266","-0.19898525","-0.39060104","0.14462753","80","946.8497","20.559982",""
"2024-03-12 16:31:38","","9.682838","12.370751","20.299366","0.007974674","80832.19","0.99997884","0.013167107","7.3676405","4.554977","710.19525","-0.56154495","-0.19371615","-0.38526073","0.15222567","80","946.8497","20.542103",""
"2024-03-12 16:31:40","","9.538272","12.372129","20.327051","0.007986274","80826.984","0.9999792","0.013209112","7.2519183","4.5356917","710.19525","-0.44107106","-0.1172561","-0.30889827","0.15268692","80","946.8582","20.532175",""
"2024-03-12 16:31:42","","9.529142","12.375403","20.33587","0.007990197","80805.414","0.99997926","0.013216551","7.2323775","4.531729","710.19525","-0.4274843","-0.108288474","-0.29993862","0.15306202","80","946.8592","20.530369",""
"2024-03-12 16:31:44","","9.361953","12.727054","20.950842","0.008273387","78579.125","0.9999799","0.013617696","7.1615314","4.505903","710.2293","-0.23917897","0.023319658","-0.16803749","0.14484125","80","946.8959","20.52105",""
"2024-03-12 16:31:46","","9.609712","13.025485","21.415766","0.008490265","76783.14","0.9999798","0.013966717","6.7858844","4.495091","710.2317","-0.049191225","0.30270827","0.111374974","0.15204263","80","946.8985","20.51166",""
"2024-03-12 16:31:48","","9.631807","13.072508","21.491503","0.008525458","76495.94","0.9999798","0.014021177","6.74121","4.492928","710.2332","-0.021035982","0.33891925","0.14760013","0.1525428","80","946.9002","20.510271",""
"2024-03-12 16:31:50","","9.619157","13.218181","21.703302","0.00862511","75654.69","0.9999795","0.014111206","6.4276457","4.515797","710.2328","0.36715144","0.46251184","0.27088323","0.15294161","80","946.8997","20.491703",""
