"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 14:19:48"
"Time Offset = -05:00:00"
"Duration = 00:00:56"
"Readings = 29"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 14:19:48","","13.491537","12.258581","20.167048","0.0079109995","81683.4","0.9999794","0.013088635","12.388602","4.3876534","715.831","-0.40237236","-0.09143688","-0.28289592","0.549","70","954.36334","13.2486105","46.041002253039636","-89.68633018846634",""
"2024-03-13 14:19:50","","13.501405","12.246165","20.136503","0.007897336","81711.35","0.99997926","0.01307888","12.373163","4.3945284","715.82996","-0.40704292","-0.09473465","-0.28617966","0.549","70","954.36194","13.249554","46.04099956783958","-89.68633653202775",""
"2024-03-13 14:19:52","","13.354608","12.235649","20.106993","0.007884245","81739.23","0.99997914","0.0130675435","12.002187","4.496213","715.87616","-0.42017668","-0.10398494","-0.26435894","0.54084486","70","954.4235","13.277076","46.04099789475739","-89.68633710904993",""
"2024-03-13 14:19:54","","13.391842","12.300455","20.30171","0.0079753315","80861.09","0.99997896","0.013196113","12.780296","4.5423684","715.8661","-0.38407302","-0.078606196","-0.26664105","0.54811","70","954.41016","13.28784","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:19:56","","13.390261","12.307636","20.323137","0.007985366","80764.695","0.99997896","0.01321004","12.854144","4.5510635","715.86676","-0.38051775","-0.076107085","-0.26610166","0.54862475","70","954.411","13.290012","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:19:58","","13.131864","12.396831","20.355185","0.008000279","80630.68","0.9999789","0.0132308705","12.984206","4.5428915","715.83105","-0.073384285","0.139869","-0.05149016","0.5573089","70","954.3634","13.308495","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:00","","12.809169","12.688397","20.830893","0.008220534","78807.41","0.99997914","0.01354008","11.181776","4.5390363","715.8159","0.22931656","0.35259742","0.46315536","0.54195887","70","954.3432","13.309561","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:02","","12.763702","12.723628","20.88381","0.008245037","78604.32","0.99997914","0.013574475","10.988312","4.538281","715.8129","0.27427858","0.38420042","0.5277738","0.54060185","70","954.33923","13.310393","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:04","","12.74845","12.981127","21.596592","0.0085687945","76535.16","0.999981","0.014037784","7.585587","4.396833","715.77814","1.1359262","0.99003315","0.8205233","0.5231372","70","954.29285","13.338096","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:06","","12.750864","13.229259","21.923744","0.008718522","75545.28","0.99998146","0.014250434","7.4242516","4.317969","715.80316","1.5462484","1.278548","1.0931524","0.5143032","70","954.3262","13.35728","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:08","","12.518442","13.272245","22.026642","0.0087643415","75326.875","0.99998164","0.014374483","5.871431","4.209133","715.83655","1.9762748","1.838744","1.6472653","0.5133292","70","954.3707","13.376258","46.040996988722796","-89.68633467006002",""
"2024-03-13 14:20:10","","12.491982","13.285337","22.047733","0.008773859","75273.3","0.9999817","0.014394734","5.7010365","4.1943274","715.84143","2.037234","1.9111085","1.719623","0.512958","70","954.3772","13.379026","46.04100139425693","-89.6863087427432",""
"2024-03-13 14:20:12","","12.67699","13.368688","22.235567","0.0088586835","74801.99","0.99998194","0.01445873","5.0945754","4.1752925","715.8428","2.8199544","2.1993842","2.007931","0.513","70","954.39716","13.397828","46.0410061705251","-89.68630127457374",""
"2024-03-13 14:20:14","","12.953257","13.37148","22.249239","0.008864589","74786.14","0.99998206","0.01446417","4.9041247","4.1157875","715.82404","3.3295348","2.5421295","2.350659","0.5206948","70","954.35626","13.416456","46.041011946949276","-89.68629098415883",""
"2024-03-13 14:20:16","","12.99191","13.374959","22.257774","0.008868417","74766.555","0.99998206","0.0144669125","4.864921","4.108768","715.82184","3.4149523","2.589536","2.3980649","0.5215517","70","954.35236","13.419194","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:18","","12.777805","13.357179","22.248678","0.00884609","75033.44","0.99998206","0.01443869","4.7915945","4.077151","715.8077","4.2473555","3.1775339","2.9861884","0.52187574","70","954.3325","13.428676","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:20","","12.910435","13.332895","22.227753","0.008850215","75024.96","0.99998206","0.014444962","5.1870513","4.0550227","715.82526","4.6746216","3.478168","3.286586","0.522","70","954.3557","13.454882","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:22","","12.916169","13.329681","22.225245","0.008849884","75033.46","0.99998206","0.01444464","5.227181","4.0516777","715.8267","4.74955","3.5308688","3.3392658","0.522","70","954.3576","13.457996","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:24","","12.929991","13.316199","22.218233","0.008846829","75099.99","0.9999821","0.014441376","5.0196147","4.023465","715.8278","5.1916375","4.0760536","3.8846123","0.51390225","70","954.35913","13.468441","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:26","","12.93721","13.313849","22.216673","0.00884673","75105.95","0.9999821","0.014441359","5.013747","4.0197124","715.8287","5.2529325","4.143966","3.9525323","0.51304513","70","954.3603","13.470559","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:28","","13.210008","13.313963","22.225624","0.008850065","75109.125","0.9999821","0.014446656","4.981325","4.021222","715.849","5.9173884","4.3730874","4.181599","0.5212659","70","954.3873","13.488439","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:30","","12.841918","13.319485","22.245045","0.008858566","75077.984","0.9999821","0.014453672","5.0481157","3.9944248","715.8113","6.1931615","4.7881227","4.5966625","0.5139731","70","954.33704","13.515318","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:32","","12.814871","13.320023","22.24729","0.00885954","75074.95","0.9999821","0.01445457","5.0540037","3.9917798","715.8083","6.2446547","4.8380117","4.6465526","0.51353496","70","954.333","13.518665","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:34","","12.772657","13.309227","22.242432","0.008856634","75135.84","0.9999821","0.014457098","4.882955","3.9806223","715.8064","6.995416","5.129978","4.938505","0.513119","70","954.33966","13.537852","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:36","","12.814491","13.295804","22.2141","0.008843782","75211.71","0.9999821","0.014438973","4.7392783","3.9815578","715.8447","7.4144964","5.412387","5.2209644","0.5052086","70","954.3827","13.565379","46.04101198077655","-89.68628004455704",""
"2024-03-13 14:20:38","","12.818706","13.293982","22.210876","0.008842296","75222.01","0.9999821","0.01443713","4.7177453","3.981342","715.8488","7.4851685","5.4514933","5.260075","0.5043856","70","954.38763","13.5689","46.04099119248132","-89.68627340685406",""
"2024-03-13 14:20:40","","13.007758","13.220376","22.095718","0.008788485","74939.78","0.9999822","0.014496195","4.5915728","3.9698684","715.8641","8.189338","5.949129","5.757678","0.5040841","70","954.40753","13.58804","46.040993834255296","-89.68627695431594",""
"2024-03-13 14:20:42","","13.027373","13.95099","23.307453","0.009351804","71632.83","0.99998254","0.0151642095","5.02028","3.9699774","715.81287","8.674282","6.2901325","6.098627","0.504","70","954.3391","13.606987","46.04100027878729","-89.68627437444725",""
"2024-03-13 14:20:44","","13.036335","14.027785","23.435099","0.009411133","71262.52","0.9999826","0.015239103","5.06255","3.9695575","715.80774","8.752299","6.344991","6.1534786","0.504","70","954.33234","13.609693","46.04100512744793","-89.68627995408708",""
