"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 11:00:43"
"Time Offset = -05:00:00"
"Duration = 00:01:20"
"Readings = 41"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804569"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 791538"
""
""
"Date Time","Actual Conductivity (µS/cm) (801689)","Specific Conductivity (µS/cm) (801689)","Salinity (PSU) (801689)","Resistivity (Ω⋅cm) (801689)","Density (g/cm³) (801689)","Total Dissolved Solids (ppt) (801689)","Turbidity (NTU) (805029)","Chlorophyll-a Fluorescence (RFU) (804424)","BGA-PC Fluorescence (RFU) (864349)","Temperature (°C) (804569)","Barometric Pressure (mm Hg) (804569)","Pressure (psi) (785110)","Depth (ft) (785110)","External Voltage (V) (804569)","Battery Capacity (%) (804569)","Barometric Pressure (mbar) (791538)","Temperature (°C) (791538)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 11:00:43","9.938606","17.461163","0.0066087143","100617.73","0.99996114","0.010622","5.565661","14.786996","2.5641985","2.4441626","717.0884","-0.4950924","-0.5148451","0","70","956.0397","13.44","46.04096037339981","-89.68591458172507",""
"2024-03-13 11:00:45","9.341659","17.002028","0.006400063","103367.586","0.9999607","0.011009431","5.8879967","16.23843","2.3815627","2.4558408","717.0884","-0.43898845","-0.38831908","0","70","956.002","13.430575","46.040960331490574","-89.68591458172507",""
"2024-03-13 11:00:47","9.250222","16.9317","0.0063681034","103788.79","0.99996066","0.011068775","5.93737","16.46075","2.3535879","2.4576294","717.0884","-0.43039483","-0.3689387","0","70","955.9962","13.429132","46.04096033149058","-89.68591458172507",""
"2024-03-13 11:00:49","10.431385","18.285606","0.006988583","95676.08","0.9999648","0.0118844","5.050982","13.8046255","2.320714","2.5859566","717.0467","-0.49349457","-0.5176726","0","70","955.98126","13.4115095","46.040960205762026","-89.68591458172507",""
"2024-03-13 11:00:51","10.822431","18.906317","0.007273475","92375.14","0.9999661","0.012289106","5.0769553","13.629742","2.233365","2.6322644","717.0644","-0.3015391","0.67859834","0","70","956.007","13.410378","46.040960080033486","-89.68591458172507",""
"2024-03-13 11:00:53","11.6071825","20.179575","0.008652624","79160.65","0.99997413","0.014219491","2.1024618","5.690461","1.6603559","2.75735","717.04596","0.30488795","1.425511","0","70","955.9832","13.41","46.04096012194299","-89.6859146655441",""
"2024-03-13 11:00:55","11.709261","20.347078","0.008822506","77520.12","0.9999751","0.014457409","1.7595229","4.7664537","1.5900729","2.7732131","717.04474","0.38378248","1.5612972","0","70","955.98157","13.41","46.040960121942994","-89.68591474936314",""
"2024-03-13 11:00:57","13.148314","22.544596","0.009049007","75454.12","0.99997735","0.014767901","1.7972245","3.140105","1.5362103","3.0422795","717.05035","0.72474796","2.3094664","0","70","955.9891","13.41","46.04096003812396","-89.68591474936314",""
"2024-03-13 11:00:59","13.369834","22.817608","0.009126643","74586.84","0.99997896","0.014869912","1.6770626","2.512399","1.544147","3.3056703","717.0572","1.0221643","2.9842916","0","70","955.9981","13.41","46.040959954304945","-89.68591474936314",""
"2024-03-13 11:01:01","13.446796","22.927212","0.009139569","74451.914","0.9999792","0.014886984","1.6747004","2.4058063","1.5450169","3.346185","717.0583","1.0677577","3.0894997","0","70","955.9996","13.41","46.04095987048589","-89.68591474936314",""
"2024-03-13 11:01:03","13.417286","22.845325","0.009114609","74530.72","0.99997956","0.0148707405","1.5259407","2.0539367","1.5689251","3.3935125","717.03723","1.7427368","4.645564","0","70","955.97156","13.41","46.040959702847836","-89.6859149170012",""
"2024-03-13 11:01:05","13.462695","22.905903","0.009145951","74132.23","0.99998033","0.014890762","2.0010872","2.2427194","1.5624509","3.4589534","717.06323","2.0756097","5.4148073","0","70","956.0062","13.419012","46.04089629593818","-89.6858714274726",""
