"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 13:04:22"
"Time Offset = -05:00:00"
"Duration = 00:00:54"
"Readings = 28"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Marked"
"2024-03-13 13:04:22","","10.621909","58.17207","101.154785","0.04583789","17186.646","1.0000001","0.06575061","0.6921976","2.7574909","715.886","-0.13559565","0.09611504","-0.06256187","0.38835636","73","954.4367","12.701843",""
"2024-03-13 13:04:24","","10.61645","58.15606","101.12029","0.045821566","17192.852","1.0000001","0.065728195","0.70106375","2.7576091","715.8826","-0.13734429","0.094928674","-0.060517374","0.38759273","73","954.4322","12.700617",""
"2024-03-13 13:04:26","","10.594029","58.27579","101.35288","0.04592849","17159.01","1","0.06587937","0.64372104","2.7543266","715.90765","-0.14343834","0.09050295","-0.0969006","0.3950795","73","954.4656","12.700244",""
"2024-03-13 13:04:28","","10.589389","58.288868","101.37412","0.0459381","17156.324","0.99999994","0.06589318","0.6423931","2.7538881","715.90906","-0.1443885","0.08984836","-0.099381596","0.39550236","73","954.46747","12.69988",""
"2024-03-13 13:04:30","","10.851023","58.279087","101.37385","0.045937028","17158.816","0.9999999","0.065893","0.67863303","2.7435887","715.90356","-0.108779766","0.11479689","0.0695094","0.39588594","73","954.4601","12.7",""
"2024-03-13 13:04:32","","10.643972","59.531425","103.456635","0.046920013","16799.127","1.0000012","0.06724681","0.7226613","2.749604","715.9163","0.2200317","0.34629983","0.17252904","0.38830525","73","954.4771","12.69145",""
"2024-03-13 13:04:34","","10.632168","59.65624","103.664604","0.04701814","16763.283","1.0000013","0.06738199","0.72852457","2.749862","715.91736","0.25418693","0.3703438","0.18871304","0.3875346","73","954.47845","12.690594",""
"2024-03-13 13:04:36","","10.956948","59.836704","103.795845","0.047091566","16712.412","1.0000025","0.0674548","0.77031034","2.8239062","715.9113","0.5179128","0.55577654","0.3675401","0.3792701","73","954.47046","12.681412",""
"2024-03-13 13:04:38","","10.979415","59.902325","103.88881","0.04713654","16693.656","1.0000026","0.06751403","0.775954","2.831232","715.9112","0.5557377","0.58238435","0.38826168","0.37818345","73","954.47034","12.680204",""
"2024-03-13 13:04:40","","10.792242","59.938316","103.753784","0.047085997","16683.822","1.0000035","0.06743885","0.9027109","2.8721778","715.91766","0.6757157","0.66644996","0.47507542","0.36988616","73","954.4789","12.680101",""
"2024-03-13 13:04:42","","10.941963","59.918854","103.62402","0.04703132","16689.24","1.0000039","0.067355864","0.99060285","2.9159396","715.9051","0.91674674","0.83617103","0.64453715","0.36928633","73","954.46216","12.67138",""
