"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 10:33:33"
"Time Offset = -05:00:00"
"Duration = 00:04:08"
"Readings = 125"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 10:33:33","","8.414324","57.13417","97.0748","0.04406562","17505.885","1.0000085","0.06308784","0.81037134","3.4913936","715.9332","-0.10054795","0.12092585","-0.07069225","0.044730093","75","954.4997","9.480447","46.01384903","-89.67169595",""
"2024-03-13 10:33:35","","8.513132","56.74863","96.48068","0.04378221","17621.926","1.0000081","0.06271149","0.8678197","3.4415755","715.92633","-0.09631236","0.1239039","-0.06913697","0.044963963","75","954.4904","9.47086","46.01384903","-89.67169595",""
"2024-03-13 10:33:37","","8.619941","57.815952","98.43398","0.044692826","17297.057","1.0000085","0.06398209","0.6891187","3.411503","715.90625","-0.10753231","0.11601392","-0.07575645","0.045","75","954.4637","9.452727","46.01384903","-89.67169595",""
"2024-03-13 10:33:39","","8.635298","57.916523","98.62204","0.044780266","17266.535","1.0000085","0.064104326","0.67173874","3.4063957","715.9038","-0.10849149","0.115339465","-0.0763479","0.045","75","954.46045","9.4504385","46.01384903","-89.67169595",""
"2024-03-13 10:33:41","","8.673708","58.112373","98.95967","0.04493886","17208.115","1.0000086","0.06432379","0.62859523","3.3905706","715.91705","0.027585775","0.21087028","0.0193852","0.03680216","75","954.4781","9.441014","46.01384903","-89.67169595",""
"2024-03-13 10:33:43","","8.849536","59.334103","100.93414","0.045940846","16811.176","1.00001","0.065686956","0.8870943","3.4218845","715.8922","0.45341328","0.51011056","0.31878126","0.04397497","75","954.4449","9.41471","46.01384903","-89.67169595",""
"2024-03-13 10:33:45","","8.869018","59.46555","101.14698","0.046048544","16768.615","1.0000101","0.06583355","0.9126315","3.4245675","715.89014","0.50244355","0.54456204","0.35325298","0.044420358","75","954.44214","9.411671","46.01384903","-89.67169595",""
"2024-03-13 10:33:47","","8.785138","59.725937","101.36331","0.046098642","16738.32","1.0000104","0.06589543","1.0716103","3.4934676","715.88226","0.7147347","0.694095","0.5025085","0.04481779","75","954.4317","9.393","46.01384903","-89.67169595",""
"2024-03-13 10:33:49","","8.783926","59.799637","101.462425","0.046143174","16719.646","1.0000105","0.06595539","1.0975577","3.5014634","715.8805","0.7522139","0.7204669","0.528859","0.045158647","75","954.4293","9.39015","46.01384903","-89.67169595",""
"2024-03-13 10:33:51","","8.949737","59.762276","101.324","0.046102263","16728.816","1.0000106","0.06589569","1.0141401","3.5242748","715.9223","1.2308259","1.057016","0.8653568","0.045","75","954.48505","9.3809395","46.01384903","-89.67169595",""
"2024-03-13 10:33:53","","8.8958645","59.77795","101.33713","0.04608816","16728.166","1.0000106","0.06587289","0.99666834","3.528372","715.918","1.555854","1.2855198","1.0938742","0.052852266","75","954.4794","9.371543","46.01384903","-89.67169595",""
"2024-03-13 10:33:55","","8.896517","59.778706","101.33475","0.046085987","16728.164","1.0000106","0.065869436","0.9918565","3.529486","715.91907","1.6057483","1.320599","1.1289535","0.053652283","75","954.4807","9.370277","46.01384903","-89.67169595",""
"2024-03-13 10:33:57","","8.949348","59.78118","101.31635","0.04609492","16725.625","1.0000106","0.065882124","0.9731556","3.5363734","715.9252","1.9854639","1.5875839","1.3959202","0.062049728","75","954.48883","9.352004","46.01384903","-89.67169595",""
"2024-03-13 10:33:59","","8.9611225","59.768124","101.26919","0.046058916","16731.084","1.0000107","0.06582815","0.9896594","3.528807","715.89343","2.2077556","1.7438354","1.5522068","0.06269492","75","954.44653","9.333561","46.01384903","-89.67169595",""
"2024-03-13 10:34:01","","8.964384","59.766815","101.26359","0.04605552","16731.562","1.0000107","0.06582304","0.9907208","3.5282655","715.89044","2.2433455","1.7688547","1.5772289","0.06303283","75","954.4425","9.331039","46.01384903","-89.67169595",""
"2024-03-13 10:34:03","","8.965904","59.75053","101.24905","0.046047095","16741.521","1.0000106","0.06582688","1.0247964","3.539439","715.91565","2.6130602","2.0288284","1.8371643","0.07102035","75","954.4762","9.3125305","46.01384903","-89.67169595",""
"2024-03-13 10:34:05","","8.939893","59.757233","101.27376","0.04605757","16735.074","1.0000107","0.06582985","1.0428729","3.5244749","715.88544","2.8819013","2.2176535","2.0261784","0.06405629","75","954.436","9.30236","46.01385803","-89.67169636",""
"2024-03-13 10:34:07","","8.937165","59.75744","101.27605","0.046058528","16734.709","1.0000107","0.0658305","1.0458804","3.5233018","715.88324","2.9223201","2.2460523","2.0545957","0.06359231","75","954.433","9.300712","46.01385803","-89.67169636",""
"2024-03-13 10:34:09","","8.93881","59.743286","101.315","0.046072975","16738.414","1.0000106","0.06584817","1.1762104","3.5158594","715.908","3.433483","2.6056254","2.4139786","0.07907639","75","954.46606","9.273758","46.01387635","-89.67169592",""
"2024-03-13 10:34:11","","8.937927","59.742184","101.320015","0.046074912","16738.494","1.0000106","0.06585011","1.1900165","3.514476","715.90924","3.494662","2.6486504","2.456992","0.08034122","75","954.4677","9.270693","46.01388733","-89.67169822",""
"2024-03-13 10:34:13","","8.950666","59.77765","101.350555","0.046091102","16728.662","1.0000106","0.06587727","1.2200316","3.5204017","715.9037","3.7432477","2.8234098","2.6317651","0.08917973","75","954.46027","9.251768","46.01389723","-89.67169769",""
"2024-03-13 10:34:15","","9.014597","59.77755","101.39215","0.046108108","16728.69","1.0000105","0.065860145","1.1821072","3.5109913","715.8839","3.946508","3.1211796","2.9295166","0.10538198","75","954.4339","9.24187","46.01389723","-89.67169769",""
