"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-13 10:40:49"
"Time Offset = -05:00:00"
"Duration = 00:03:38"
"Readings = 110"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Latitude (°)","Longitude (°)","Marked"
"2024-03-13 10:40:49","","9.137321","59.311546","102.94761","0.046694152","16855.498","1.0000018","0.06692035","0.8878237","2.7543404","716.00977","-0.019092454","0.17734624","-0.013423331","0.062286418","75","954.6016","10.541054","46.01387369","-89.67161255",""
"2024-03-13 10:40:51","","9.137351","59.39151","102.90523","0.04668306","16835.791","1.0000027","0.06688995","0.7173458","2.8549583","716.02167","-0.017252093","0.17867349","-0.012129429","0.0627491","75","954.6176","10.540278","46.01387369","-89.67161255",""
"2024-03-13 10:40:53","","9.139491","59.408607","102.898605","0.0466799","16833.389","1.0000029","0.06688333","0.69981587","2.8688247","716.0225","-0.017013332","0.17884213","-0.011961563","0.06312427","75","954.6187","10.539862","46.01387369","-89.67161255",""
"2024-03-13 10:40:55","","9.125727","59.448246","102.90242","0.046717934","16804.086","1.0000035","0.06692578","0.8290166","2.8904662","716.0232","-0.03281034","0.1676443","-0.023067966","0.063","75","954.61957","10.54","46.01387369","-89.67161255",""
"2024-03-13 10:40:57","","9.223909","59.469204","102.78939","0.0466465","16813.648","1.0000039","0.06681714","0.8927156","2.9051895","716.03656","-0.029617928","0.17006724","-0.020823477","0.063","75","954.6373","10.531188","46.01387369","-89.67161255",""
"2024-03-13 10:40:59","","9.23438","59.47304","102.77701","0.04663997","16813.637","1.000004","0.06680665","0.90507567","2.9074903","716.038","-0.029859992","0.16991337","-0.020993665","0.063","75","954.6393","10.530206","46.01387369","-89.67161255",""
"2024-03-13 10:41:01","","9.059626","59.519962","102.83459","0.04666721","16801.104","1.0000042","0.066842444","0.90705085","2.9449682","716.0104","-0.0070847045","0.18484467","-0.0049810433","0.063","75","954.6024","10.520674","46.01387369","-89.67161255",""
"2024-03-13 10:41:03","","9.189853","59.737137","103.01719","0.04669709","16734.56","1.0000061","0.06684837","1.0857745","3.00329","716.0022","0.30287662","0.40376118","0.21294346","0.063","75","954.5916","10.520193","46.01387369","-89.67161255",""
"2024-03-13 10:41:05","","9.045188","59.77559","102.77958","0.046664167","16728.527","1.0000066","0.066791855","0.82180333","3.0669632","716.03906","0.47141358","0.5229434","0.33143675","0.05539474","75","954.6408","10.51155","46.01387369","-89.67161255",""
"2024-03-13 10:41:07","","9.034244","59.787853","102.75891","0.04666138","16725.424","1.0000067","0.06678544","0.79823023","3.0762522","716.04315","0.5021103","0.54464567","0.3530187","0.054524664","75","954.6462","10.510583","46.01387369","-89.67161255",""
"2024-03-13 10:41:09","","9.197879","59.784924","102.65486","0.046622362","16726.53","1.000007","0.06672369","0.8683094","3.1326613","716.01154","0.6664167","0.6601943","0.57811177","0.054139823","75","954.604","10.501203","46.01387369","-89.67161255",""
"2024-03-13 10:41:11","","9.122538","59.75024","102.530754","0.046571463","16730.9","1.0000073","0.06664499","0.9441658","3.1589353","715.984","0.9776578","0.8790061","0.70118225","0.054","75","954.5674","10.48331","46.01387369","-89.67161255",""
"2024-03-13 10:41:13","","9.12073","59.746174","102.51393","0.04656442","16731.428","1.0000074","0.06663405","0.9564487","3.163769","715.9796","1.0183398","0.90760577","0.72304684","0.054","75","954.56146","10.480977","46.01387369","-89.67161255",""
"2024-03-13 10:41:15","","9.149885","59.754257","102.42677","0.04652772","16734.684","1.0000076","0.066577405","1.0954205","3.1692123","716.0261","1.2776138","1.0899156","0.89976156","0.054","75","954.62354","10.489297","46.01387369","-89.67161255",""
"2024-03-13 10:41:17","","9.088005","59.754425","102.38107","0.046509027","16734.96","1.0000079","0.06654937","0.93670493","3.1993034","716.0098","1.4917461","1.3679562","1.176348","0.06172213","75","954.60175","10.481104","46.01387369","-89.67161255",""
"2024-03-13 10:41:19","","9.082571","59.754864","102.37306","0.046505716","16735.102","1.0000079","0.06654434","0.92411315","3.202793","716.0099","1.5243722","1.4050497","1.2134467","0.06257945","75","954.60175","10.480564","46.01387369","-89.67161255",""
"2024-03-13 10:41:21","","9.036564","59.75868","102.29639","0.04647496","16733.97","1.0000081","0.0664928","1.1400104","3.2112088","716.04956","1.9337158","1.5625643","1.3709012","0.07113682","75","954.6548","10.480097","46.01387369","-89.67161255",""
"2024-03-13 10:41:23","","8.974254","59.743908","102.251396","0.04645505","16738.11","1.0000081","0.066463456","0.9501089","3.2328014","716.0325","2.1231463","1.6884303","1.4967747","0.08739099","75","954.632","10.471313","46.01387369","-89.67161255",""
"2024-03-13 10:41:25","","8.965797","59.74242","102.24356","0.046451703","16738.525","1.0000081","0.066458285","0.937893","3.235429","716.03217","2.1592972","1.7076877","1.5160304","0.08949439","75","954.6316","10.470352","46.01387369","-89.67161255",""
"2024-03-13 10:41:27","","8.983779","59.727055","102.20826","0.046435684","16742.832","1.0000083","0.06642131","0.9587817","3.2389438","716.0446","2.4980721","1.947987","1.7563195","0.098111995","75","954.6482","10.45178","46.01387527","-89.67162576",""
"2024-03-13 10:41:29","","8.977342","59.733574","102.19109","0.046429396","16741.004","1.0000083","0.066422574","0.99514645","3.252594","716.03235","2.6764362","2.0733874","1.881722","0.106530115","75","954.63184","10.450568","46.01387527","-89.67162576",""
"2024-03-13 10:41:31","","8.977416","59.733734","102.18796","0.046428137","16740.959","1.0000083","0.06642135","1.0003935","3.2541592","716.03156","2.708266","2.095766","1.9041005","0.10773357","75","954.6308","10.4497595","46.01388186","-89.67163761",""
"2024-03-13 10:41:33","","9.041436","59.7449","102.1355","0.046407983","16737.83","1.0000085","0.066387944","1.1434157","3.2704444","716.024","2.828081","2.1799955","1.9883388","0.14096011","75","954.62067","10.440824","46.01388186","-89.67163761",""
"2024-03-13 10:41:35","","9.058342","59.756035","102.12308","0.04641657","16732.783","1.0000086","0.0663987","1.1258011","3.2796004","716.05615","3.206258","2.445888","2.2542238","0.1587589","75","954.6636","10.43154","46.01389","-89.67164352",""
"2024-03-13 10:41:37","","9.062616","59.75764","102.11977","0.04641675","16732.125","1.0000086","0.06639859","1.129197","3.2811768","716.0594","3.251641","2.4777958","2.2861311","0.1619284","75","954.6679","10.430185","46.01389","-89.67164352",""
