"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-12 16:44:03"
"Time Offset = -05:00:00"
"Duration = 00:00:50"
"Readings = 26"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Marked"
"2024-03-12 16:44:03","","10.787336","12.524943","21.676403","0.008550129","79874.55","0.9999724","0.014082867","12.609989","2.8915794","710.30493","-0.5440873","-0.19107471","-0.4071519","0.306","80","946.99585","17.740395",""
"2024-03-12 16:44:05","","10.781948","12.535645","21.69029","0.008561573","79772.48","0.9999725","0.014098779","12.568816","2.9003043","710.30743","-0.54919505","-0.19468549","-0.41356853","0.306","80","946.9992","17.739994",""
"2024-03-12 16:44:07","","10.685351","12.351572","21.150574","0.008314788","81671.48","0.9999732","0.013747873","12.165052","2.9351668","710.26056","-0.5677118","-0.20753698","-0.4016943","0.306","80","946.9367","17.713062",""
"2024-03-12 16:44:09","","10.841129","12.085354","20.8303","0.0081685055","82839.81","0.9999736","0.013539695","12.398087","2.9570692","710.2764","-0.53560424","-0.18511635","-0.37753645","0.306","80","946.9578","17.710999",""
"2024-03-12 16:44:11","","10.855294","12.04793","20.773285","0.008142452","83045.43","0.99997365","0.013502636","12.410927","2.9606452","710.2764","-0.53246135","-0.18291724","-0.3741288","0.306","80","946.9578","17.709763",""
"2024-03-12 16:44:13","","10.814142","11.964004","20.693178","0.008102609","83592.37","0.9999723","0.013450566","11.595952","2.9086304","710.27075","-0.3213446","-0.03449967","-0.1027727","0.2977926","80","946.9503","17.691761",""
"2024-03-12 16:44:15","","10.479173","12.653452","22.20892","0.008810756","77348.73","0.99997646","0.014435799","11.406622","2.9130342","710.2771","0.10385232","0.26421073","0.08699482","0.29724774","80","946.95874","17.681862",""
"2024-03-12 16:44:17","","10.439628","12.728023","22.376034","0.008888732","76668.91","0.9999769","0.014544423","11.353337","2.911493","710.2775","0.15940334","0.30324098","0.118553944","0.29687244","80","946.9593","17.680056",""
"2024-03-12 16:44:19","","10.748355","13.172738","22.471727","0.008941811","75759.96","0.99997944","0.014606624","7.8173876","3.156546","710.2914","0.537659","0.5695459","0.37892476","0.30517983","80","946.9778","17.680067",""
"2024-03-12 16:44:21","","10.6817465","13.247587","22.490685","0.008954608","75432.016","0.99998057","0.014627215","6.404439","3.473175","710.29236","0.7885966","0.943137","0.75151676","0.32143006","80","946.9791","17.688717",""
"2024-03-12 16:44:23","","10.686275","13.270617","22.493185","0.008956514","75375.53","0.9999808","0.014629753","6.1194596","3.517012","710.29297","0.82937735","0.9935897","0.80194616","0.32352206","80","946.9799","17.689678",""
"2024-03-12 16:44:25","","10.527529","13.281882","22.476484","0.008950956","75290.55","0.999981","0.01461037","5.125471","3.5600812","710.2928","1.4396893","1.2194076","1.0278023","0.34898385","80","946.98895","17.662138",""
