"Location Properties"
"Location Name = Device Location"
""
"Report Properties"
"Start Time = 2024-03-12 16:49:15"
"Time Offset = -05:00:00"
"Duration = 00:01:38"
"Readings = 50"
""
"Instrument Properties"
"Device Model = Aqua TROLL 600"
"Device SN = 804550"
""
"Instrument Properties"
"Device Model = Wireless TROLL Com"
"Device SN = 868976"
""
""
"Date Time","Turbidity (NTU) (803671)","BGA-PC Fluorescence (RFU) (797015)","Actual Conductivity (µS/cm) (803397)","Specific Conductivity (µS/cm) (803397)","Salinity (PSU) (803397)","Resistivity (Ω⋅cm) (803397)","Density (g/cm³) (803397)","Total Dissolved Solids (ppt) (803397)","Chlorophyll-a Fluorescence (RFU) (804408)","Temperature (°C) (804550)","Barometric Pressure (mm Hg) (804550)","Pressure (psi) (785112)","Depth (m) (785112)","Surface Elevation (m) (785112)","External Voltage (V) (804550)","Battery Capacity (%) (804550)","Barometric Pressure (mbar) (868976)","Temperature (°C) (868976)","Marked"
"2024-03-12 16:49:15","","11.333651","9.584082","16.079268","0.0060199485","104963.19","0.9999797","0.010454249","19.272575","3.8642626","710.36957","-0.5583598","-0.20112164","-0.39256603","0.594","80","947.082","16.900845",""
"2024-03-12 16:49:17","","11.53677","8.861159","14.919463","0.005490413","108806.586","0.99997866","0.010107548","20.012775","3.7432752","710.3946","-0.58575404","-0.22027977","-0.41182607","0.601854","80","947.11536","16.900259",""
"2024-03-12 16:49:19","","11.539237","8.864146","14.932289","0.0054953895","108079.375","0.9999786","0.010161553","20.146484","3.7204075","710.39655","-0.5886891","-0.22232978","-0.41388965","0.602729","80","947.11804","16.899843",""
"2024-03-12 16:49:21","","11.487008","9.213926","15.600754","0.0057945624","108207.01","0.9999782","0.010173481","19.25376","3.6144552","710.3908","-0.5907836","-0.22394814","-0.4153622","0.5946321","80","947.1103","16.881456",""
"2024-03-12 16:49:23","","11.657389","9.191757","15.580866","0.005784705","108689.61","0.999978","0.010138008","19.08588","3.5362086","710.3773","-0.6027105","-0.23233944","-0.35683423","0.59420013","80","947.0924","16.889221",""
"2024-03-12 16:49:25","","11.67313","9.205807","15.609458","0.005797422","108717.77","0.99997795","0.010137022","19.03263","3.523579","710.37555","-0.60404414","-0.23328352","-0.35050985","0.5938251","80","947.0901","16.889341",""
"2024-03-12 16:49:27","","11.582374","9.137012","16.400063","0.006153804","103759.6","0.99997735","0.010660041","18.787178","3.491951","710.42426","-0.39639512","-0.08722278","-0.2736249","0.594","80","947.15497","16.871346",""
"2024-03-12 16:49:29","","11.30572","10.260463","17.576056","0.0066880165","97070.44","0.9999772","0.011424436","12.8886","3.4183607","710.41345","-0.29385704","-0.015468728","-0.20517504","0.594","80","947.14056","16.861458",""
"2024-03-12 16:49:31","","10.865966","10.744491","18.358522","0.0070454488","92960.17","0.99997735","0.01193304","10.889686","3.3520944","710.36884","-0.2329401","0.027570551","-0.16620505","0.594","80","947.081","16.860363",""
"2024-03-12 16:49:33","","10.805627","10.842291","18.488766","0.007104853","92259.984","0.9999774","0.012017697","10.440797","3.3418865","710.3631","-0.22300966","0.03456352","-0.15950185","0.594","80","947.07336","16.859945",""
"2024-03-12 16:49:35","","10.583064","9.940146","19.752398","0.0076903533","85939.47","0.9999793","0.012839058","9.919641","3.418972","710.388","-0.08416176","0.13224703","-0.059419625","0.594","80","947.1066","16.851",""
"2024-03-12 16:49:37","","10.940888","11.360667","19.543186","0.0075978283","86473.98","0.99998003","0.012703071","8.489651","3.5075433","710.3829","0.075698696","0.24484304","0.05312851","0.594","80","947.0998","16.850325",""
"2024-03-12 16:49:39","","10.974469","11.486515","19.564583","0.007608254","86309.28","0.9999802","0.01271698","8.312463","3.5206385","710.38336","0.09881423","0.26111928","0.069498524","0.594","80","947.10046","16.849913",""
"2024-03-12 16:49:41","","11.253143","12.022111","20.260822","0.007932361","83080.47","0.999981","0.0131695345","7.8970995","3.7406964","710.40344","0.21062629","0.3397402","0.23289296","0.5857778","80","947.1272","16.85",""
