wbody,zone,holeid,event,Date Time,Turbidity (NTU) (803671),BGA-PC Fluorescence (RFU) (797015),Actual Conductivity (µS/cm) (803397),Specific Conductivity (µS/cm) (803397),Salinity (PSU) (803397),Resistivity (Ω⋅cm) (803397),Density (g/cm³) (803397),Total Dissolved Solids (ppt) (803397),Chlorophyll-a Fluorescence (RFU) (804408),Temperature (°C) (804550),Barometric Pressure (mm Hg) (804550),Pressure (psi) (785112),Depth (ft),Depth (m) (785112),Surface Elevation (m) (785112),External Voltage (V) (804550),Battery Capacity (%) (804550),Barometric Pressure (mbar) (868976),Temperature (°C) (868976),Latitude,Longitude,Marked
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.250643,9.81547,17.032629,0.006426105,102273.68,0.9999691,0.011142887,14.5095215,2.9073467,710.4002,-0.5021188,-0.525934154,-0.16030473,-0.35185686,0.567349,80,947.12286,16.701988,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.267896,9.725593,16.889595,0.006360031,103047.805,0.99996865,0.01097295,14.465949,2.8873136,710.39825,-0.49492863,-0.513430413,-0.15649359,-0.3480556,0.5669742,80,947.12024,16.700619,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.261617,10.930488,19.05741,0.007344267,91640.06,0.9999639,0.010081912,15.031647,2.684531,710.42474,-0.56645316,-0.678376181,-0.20676906,-0.39825624,0.57504684,80,947.15564,16.700178,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.246678,9.361398,16.395267,0.006129068,107209.82,0.9999625,0.010368645,13.452547,2.5879948,710.42676,-0.5659571,-0.676856004,-0.20630571,-0.3979075,0.57568526,80,947.19244,16.69147,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.244105,9.234985,16.185469,0.006033114,108491.375,0.99996215,0.01037657,13.2987795,2.5698304,710.428,-0.56878394,-0.683344521,-0.20828341,-0.39989492,0.5760566,80,947.198,16.690496,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.55961,9.701359,17.059753,0.0064258,103131.83,0.99996024,0.011058913,18.81201,2.4222784,710.44135,-0.25602868,0.037138432,0.011319794,-0.18000609,0.5597248,80,947.18115,16.690117,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,12.074653,11.457781,20.110878,0.007820257,87720.23,0.99997234,0.01376675,20.612452,2.4736288,710.4101,0.40525565,1.563281496,0.4764882,0.28492308,0.56630516,80,947.1373,16.681398,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,12.144164,11.677297,20.49446,0.007995296,85740.21,0.9999736,0.014093749,21.026567,2.4740162,710.4071,0.4909289,1.760951772,0.5367381,0.34515738,0.56642836,80,947.13165,16.680437,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.238414,12.8550415,21.954115,0.008698714,77898.96,0.9999786,0.014333446,13.039835,2.9563541,710.4194,0.9737732,2.874146129,0.87603974,0.6846307,0.5669203,80,947.14844,16.689217,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.125748,13.028234,22.109253,0.008777624,76779.555,0.9999802,0.014393278,10.6299095,3.455335,710.4329,1.4773625,4.03639206,1.2302923,1.0386893,0.5748207,80,947.1665,16.689724,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.077714,13.087688,22.174189,0.008809562,76396.05,0.9999805,0.014402178,10.058492,3.528662,710.435,1.5498705,4.203690289,1.2812848,1.0896674,0.57568663,80,947.16925,16.690138,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.388721,13.1372595,22.203289,0.008825854,75908.69,0.99998146,0.014440018,10.170869,3.6201124,710.4283,2.3733208,6.10322605,1.8602633,1.6686107,0.5759539,80,947.16034,16.66236,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.447894,13.239462,22.305838,0.008876948,75510.56,0.99998164,0.014499615,10.091779,3.693969,710.40155,2.8798325,7.271244094,2.2162752,2.0247238,0.56807303,80,947.1247,16.6607,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.465864,13.253102,22.31896,0.008883536,75444.836,0.9999817,0.014507667,10.0864935,3.7049649,710.3984,2.9664605,7.47103248,2.2771707,2.0856295,0.5671984,80,947.1204,16.659462,,,
bog,littoral,l1,12a,2024-03-12 16:54:00,,11.071088,13.242111,22.270748,0.008862693,75516.84,0.9999818,0.01447598,8.977324,3.7728035,710.42584,3.4557354,8.59900164,2.6209757,2.4296238,0.56699276,80,947.15704,16.66,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.138034,13.164302,22.11379,0.008791257,75935.54,0.99998194,0.014372476,9.201068,3.8109605,710.4072,4.3148885,10.58071194,3.225001,3.0336688,0.5750325,80,947.1322,16.651075,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.275236,13.1601715,22.068195,0.008772065,75983.25,0.99998194,0.014344129,10.024438,3.8288078,710.3682,4.859365,11.83732382,3.6080163,3.4164739,0.56807196,79.1562,947.0802,16.641932,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.294817,13.156818,22.057325,0.008767289,76004.164,0.99998194,0.014337151,10.130255,3.8319938,710.363,4.951305,12.04947539,3.6726801,3.481114,0.5675899,79.06097,947.07324,16.640564,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.178391,13.151012,22.04045,0.008759821,76039.3,0.99998194,0.014326265,9.820871,3.8799014,710.4084,5.40421,13.09423688,3.9911234,3.799538,0.55902845,79.01552,947.1337,16.640154,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.094272,13.129174,21.989946,0.008737954,76107.234,0.999982,0.014293465,8.620609,3.9054782,710.37286,6.3867407,15.36080052,4.681972,4.4903255,0.5506608,79,947.08636,16.631504,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.079934,13.126504,21.983799,0.008735282,76116.14,0.999982,0.014289469,8.472244,3.9100995,710.3708,6.511352,15.64825787,4.769589,4.577936,0.54943734,79,947.0836,16.630562,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.149873,13.152025,22.008541,0.008746797,76027.71,0.999982,0.014305552,7.44042,3.9324462,710.3819,7.0321403,16.84943668,5.1357083,4.9440866,0.5491418,79,947.0985,16.639103,,,
bog,littoral,l1,12a,2024-03-12 16:55:00,,11.635333,13.090679,21.888664,0.008692024,76387.99,0.999982,0.014275651,10.189116,3.9561648,710.4014,7.453409,18.15569062,5.5338545,5.343537,0.549,79,947.1245,16.639639,,,
